OrderID,State,City,Product,Category,Quantity,Price,Sales,eligible for AI
1001,Karnataka,Bangalore,Laptop,Electronics,2,55000,110000,yes
1002,Maharashtra,Mumbai,Phone,Electronics,3,30000,90000,yes
1003,Telangana,Hyderabad,Headphones,Accessories,5,,10000,no
1004,Tamil Nadu,Chennai,Monitor,Electronics,2,15000,30000,yes
1005,Delhi,New Delhi,Keyboard,Accessories,10,1500,15000,no
1006,Karnataka,Mysore,Mouse,Accessories,8,700,5600,no
1007,West Bengal,Kolkata,Tablet,Electronics,4,25000,100000,yes
1008,Maharashtra,Pune,Laptop,Electronics,1,60000,,yes
1009,Gujarat,Ahmedabad,Phone,Electronics,2,,yes
1010,Rajasthan,Jaipur,Printer,Electronics,3,12000,36000,yes
1011,Uttar Pradesh,Lucknow,Camera,Electronics,2,45000,90000,yes
1012,Kerala,Kochi,Speaker,Accessories,6,3500,21000,no
1013,Karnataka,Bangalore,Phone,Electronics,5,32000,160000,yes
1014,Maharashtra,Mumbai,Smart Watch,Accessories,7,8000,56000,no
1015,Telangana,Hyderabad,Laptop,Electronics,2,58000,116000,yes